id,value
id_0,25.711045771977204
id_1,60.048150231274455
id_2,20.242178622640477
id_3,28.48015670339456
id_4,10.436487184525904
id_5,33.73503068012111
id_6,38.24160632858019
id_7,14.983769360149408
id_8,50.25023732669804
id_9,32.16369530827697
id_10,37.811209298817545
id_11,61.775176776399306
id_12,35.87745140867585
id_13,38.92218152589241
id_14,22.36744433026471
id_15,13.280698218385357
id_16,52.92718592189949
id_17,23.54786459827232
id_18,17.94490795718805
id_19,17.542975545815086
id_20,13.529542666427721
id_21,28.301177607050455
id_22,38.636725137784836
id_23,13.921744041757192
id_24,59.796958738042434
id_25,43.98012345445771
id_26,27.96292954108128
id_27,8.259888456855224
id_28,29.780277677262156
id_29,33.60218690727141
id_30,16.586549819645064
id_31,10.55240706012187
id_32,16.13206826499716
id_33,5.884487360151153
id_34,16.823715915643362
id_35,40.53708811441359
id_36,20.128876926410808
id_37,27.1235569130598
id_38,8.243105945649313
id_39,61.504164928744
id_40,48.40758392776906
id_41,18.063220953661286
id_42,50.82818510567467
id_43,17.66341385642947
id_44,46.134057691556926
id_45,52.14553383917591
id_46,58.900034823667156
id_47,39.38180741409848
id_48,50.66896362620561
id_49,41.569187956762214
id_50,30.213024216992036
id_51,22.280647842999315
id_52,40.994143464365195
id_53,23.603768544484733
id_54,36.12468292748821
id_55,39.63136183174508
id_56,23.373322037827574
id_57,21.24774437743965
id_58,36.02125475512713
id_59,32.526609233434804
id_60,15.538326974002716
id_61,23.223986381212903
id_62,32.3860125410705
id_63,55.36098162014528
id_64,50.977288212267375
id_65,25.821452679914927
id_66,41.06589162541142
id_67,53.68177970794961
id_68,24.966214907563092
id_69,37.894612155658436
id_70,62.9048683138628
id_71,55.1685073176651
id_72,44.25559714491128
id_73,14.55883017400701
id_74,11.211192736303596
id_75,35.00200234439042
id_76,60.29167257820295
id_77,3.353239793211007
id_78,43.49502199804091
id_79,42.10312073756033
id_80,8.62612699426455
id_81,21.10410251987284
id_82,8.48409753101166
id_83,34.41882396019828
id_84,10.995387869032305
id_85,5.809021041722586
id_86,16.848436317614187
id_87,12.439004089783477
id_88,14.027718026701574
id_89,27.483210868309897
id_90,32.47670675957596
id_91,12.265740081093957
id_92,13.859053068121336
id_93,10.384193566676915
id_94,35.006031967445
id_95,16.867630054780008
id_96,15.547052619477576
id_97,8.240670092038963
id_98,9.979379065394431
id_99,6.173993298786591
id_100,12.169607526242283
id_101,19.799572946380184
id_102,11.067479849403862
id_103,6.937080387424
id_104,13.640820543037634
id_105,36.98766472724734
id_106,25.61004242636095
id_107,9.641970418201014
id_108,16.28054887779539
id_109,15.383691425381906
id_110,14.057108157005548
id_111,14.758737774153204
id_112,13.691546968350563
id_113,26.425039827624698
id_114,21.302993976628237
id_115,15.561264614422596
id_116,9.44773704524453
id_117,43.1453084484431
id_118,30.46510476363178
id_119,2.754714724810601
id_120,2.3539578814824167
id_121,12.590681285513948
id_122,13.677189921831406
id_123,14.082170453842082
id_124,6.972851396714617
id_125,23.778803409827567
id_126,24.1410364573861
id_127,11.123586528383882
id_128,19.89780720301134
id_129,16.099703266509998
id_130,3.2553588780346483
id_131,35.22864837498405
id_132,14.5771722563127
id_133,22.99402880475138
id_134,26.001066563040087
id_135,22.776086026097566
id_136,8.903273727830804
id_137,21.638779571814755
id_138,84.0286172927282
id_139,62.63382078352842
id_140,26.90532942823582
id_141,15.988025956550997
id_142,24.693956019493733
id_143,6.569099176325895
id_144,10.339953842856886
id_145,10.113025425585873
id_146,19.64292998748656
id_147,5.875561819660032
id_148,15.408231618249138
id_149,18.326389183273754
id_150,50.75633437307558
id_151,21.34248791957213
id_152,22.121489987321816
id_153,15.183248095438616
id_154,14.625553861390692
id_155,28.20983151465189
id_156,23.097858824043193
id_157,35.88114513979167
id_158,3.0042219716967193
id_159,20.566164662701265
id_160,43.76512012653541
id_161,18.22582180665094
id_162,62.19251409996878
id_163,17.374809337831156
id_164,35.211189334551904
id_165,23.652808679504563
id_166,22.564553751736568
id_167,2.124625370346107
id_168,70.63953322432195
id_169,18.2010239751444
id_170,15.466326332510649
id_171,75.50830644585534
id_172,20.27062034322791
id_173,3.0780353987769447
id_174,22.00141783419102
id_175,2.547191729585101
id_176,8.393138855058323
id_177,19.33803607286654
id_178,20.592605144933394
id_179,23.32893127043463
id_180,42.04906351212645
id_181,29.684442421646793
id_182,29.383449854093783
id_183,13.213030779059915
id_184,8.509048638023868
id_185,40.4438082258463
id_186,35.28587746971289
id_187,32.95668966385625
id_188,15.438989762181208
id_189,23.710237386553217
id_190,13.445413392004953
id_191,14.890894983824166
id_192,31.818384118139647
id_193,77.43667004023634
id_194,29.091636815775445
id_195,12.29777728843537
id_196,64.44974381614288
id_197,15.543796199812988
id_198,20.57021473550589
id_199,24.48559101104901
id_200,150.74412567437108
id_201,23.004409405962313
id_202,58.44802604805919
id_203,8.567056573349923
